,Julat Subuh,Julat Syuruk,Julat Zohor,Julat Asar,Julat Maghrib,Julat Isyak
01-01-2024 ,111,112,85,96,112,112
02-01-2024 ,111,112,85,96,112,111
03-01-2024 ,111,111,85,96,112,111
04-01-2024 ,110,111,85,96,112,111
05-01-2024 ,110,111,85,96,112,111
06-01-2024 ,110,111,85,95,112,111
07-01-2024 ,110,111,85,95,111,111
08-01-2024 ,110,111,85,95,111,111
09-01-2024 ,109,110,85,95,111,110
10-01-2024 ,109,110,85,95,111,110
11-01-2024 ,109,110,85,94,111,110
12-01-2024 ,109,110,85,94,111,110
13-01-2024 ,108,109,85,94,110,109
14-01-2024 ,108,109,85,94,110,109
15-01-2024 ,108,109,85,93,110,109
16-01-2024 ,108,108,85,93,110,109
17-01-2024 ,107,108,85,93,109,108
18-01-2024 ,107,108,85,93,109,108
19-01-2024 ,107,108,85,92,109,108
20-01-2024 ,106,107,85,92,109,108
21-01-2024 ,106,107,85,92,108,107
22-01-2024 ,106,107,85,91,108,107
23-01-2024 ,105,106,85,91,108,107
24-01-2024 ,105,106,85,91,107,106
25-01-2024 ,104,105,85,90,107,106
26-01-2024 ,104,105,85,90,107,106
27-01-2024 ,104,105,85,90,106,105
28-01-2024 ,103,104,85,89,106,105
29-01-2024 ,103,104,85,89,106,105
30-01-2024 ,102,103,85,89,105,104
31-01-2024 ,102,103,85,88,105,104
01-02-2024 ,101,103,85,88,105,104
02-02-2024 ,101,102,85,87,104,103
03-02-2024 ,101,102,85,87,104,103
04-02-2024 ,100,101,85,87,104,103
05-02-2024 ,100,101,85,86,103,102
06-02-2024 ,99,100,85,86,103,102
07-02-2024 ,99,100,85,85,103,101
08-02-2024 ,98,99,85,85,102,101
09-02-2024 ,98,99,85,84,102,101
10-02-2024 ,97,98,85,84,101,100
11-02-2024 ,97,98,85,84,101,100
12-02-2024 ,96,97,85,83,101,99
13-02-2024 ,96,97,85,83,100,99
14-02-2024 ,95,97,85,83,100,99
15-02-2024 ,95,96,85,83,99,98
16-02-2024 ,94,96,85,83,99,98
17-02-2024 ,94,95,85,84,99,97
18-02-2024 ,93,94,85,84,98,97
19-02-2024 ,92,94,85,85,98,96
20-02-2024 ,92,93,85,85,97,96
21-02-2024 ,91,93,85,86,97,96
22-02-2024 ,91,92,85,87,97,95
23-02-2024 ,90,92,85,87,96,95
24-02-2024 ,90,91,85,88,96,94
25-02-2024 ,89,91,85,89,95,94
26-02-2024 ,89,90,85,90,95,93
27-02-2024 ,88,90,85,90,94,93
28-02-2024 ,88,89,85,91,94,92
29-02-2024 ,87,89,85,92,94,92
01-03-2024 ,86,88,85,92,93,92
02-03-2024 ,86,88,85,93,93,91
03-03-2024 ,85,87,85,94,92,91
04-03-2024 ,85,87,85,95,92,90
05-03-2024 ,84,86,85,95,91,90
06-03-2024 ,84,85,85,96,91,89
07-03-2024 ,83,85,85,97,90,89
08-03-2024 ,83,84,85,98,90,88
09-03-2024 ,83,84,85,99,90,88
10-03-2024 ,83,83,85,99,89,87
11-03-2024 ,83,83,85,100,89,87
12-03-2024 ,83,83,85,101,88,86
13-03-2024 ,84,83,85,102,88,86
14-03-2024 ,84,83,85,103,87,86
15-03-2024 ,84,83,85,104,87,85
16-03-2024 ,85,83,85,104,86,85
17-03-2024 ,85,84,85,105,86,84
18-03-2024 ,86,84,85,106,86,84
19-03-2024 ,86,84,85,107,85,84
20-03-2024 ,87,85,85,108,85,83
21-03-2024 ,87,85,85,109,84,83
22-03-2024 ,88,86,85,110,84,83
23-03-2024 ,88,86,85,111,84,83
24-03-2024 ,89,87,85,112,83,83
25-03-2024 ,89,87,85,112,83,83
26-03-2024 ,90,88,85,113,83,84
27-03-2024 ,90,88,85,114,83,84
28-03-2024 ,91,88,85,115,83,85
29-03-2024 ,91,89,85,116,83,86
30-03-2024 ,91,89,85,117,84,86
31-03-2024 ,92,90,85,118,84,87
01-04-2024 ,92,90,85,119,85,87
02-04-2024 ,93,91,85,120,85,88
03-04-2024 ,93,91,85,102,86,89
04-04-2024 ,94,92,85,114,86,89
05-04-2024 ,94,92,85,113,87,90
06-04-2024 ,95,92,85,112,87,90
07-04-2024 ,95,93,85,111,88,91
08-04-2024 ,96,93,85,110,88,91
09-04-2024 ,96,94,85,110,89,92
10-04-2024 ,97,94,85,109,89,92
11-04-2024 ,97,95,85,108,90,93
12-04-2024 ,97,95,85,108,91,94
13-04-2024 ,98,95,85,107,91,94
14-04-2024 ,98,96,85,106,92,95
15-04-2024 ,99,96,85,105,92,95
16-04-2024 ,99,97,85,105,93,96
17-04-2024 ,100,97,85,104,93,96
18-04-2024 ,100,97,85,103,94,97
19-04-2024 ,101,98,85,103,94,97
20-04-2024 ,101,98,85,102,95,98
21-04-2024 ,101,99,85,102,95,99
22-04-2024 ,102,99,85,101,96,99
23-04-2024 ,102,99,85,100,96,100
24-04-2024 ,103,100,85,100,97,100
25-04-2024 ,103,100,85,99,97,101
26-04-2024 ,104,101,85,99,98,101
27-04-2024 ,104,101,85,98,98,102
28-04-2024 ,104,101,85,98,98,102
29-04-2024 ,105,102,85,97,99,103
30-04-2024 ,105,102,85,97,99,103
01-05-2024 ,106,103,85,96,100,104
02-05-2024 ,106,103,85,96,100,104
03-05-2024 ,106,103,85,95,101,105
04-05-2024 ,107,104,85,95,101,105
05-05-2024 ,107,104,85,94,102,106
06-05-2024 ,108,104,85,94,102,106
07-05-2024 ,108,105,85,93,102,107
08-05-2024 ,108,105,85,93,103,107
09-05-2024 ,109,105,85,92,103,107
10-05-2024 ,109,106,85,92,104,108
11-05-2024 ,109,106,85,91,104,108
12-05-2024 ,110,106,85,91,104,109
13-05-2024 ,110,107,85,91,105,109
14-05-2024 ,110,107,85,90,105,110
15-05-2024 ,111,107,85,90,106,110
16-05-2024 ,111,107,85,90,106,110
17-05-2024 ,111,108,85,89,106,111
18-05-2024 ,112,108,85,89,107,111
19-05-2024 ,112,108,85,88,107,112
20-05-2024 ,112,109,85,88,107,112
21-05-2024 ,113,109,85,88,108,112
22-05-2024 ,113,109,85,88,108,113
23-05-2024 ,113,109,85,87,108,113
24-05-2024 ,114,110,85,87,109,113
25-05-2024 ,114,110,85,87,109,114
26-05-2024 ,114,110,85,86,109,114
27-05-2024 ,114,110,85,86,109,114
28-05-2024 ,115,111,85,86,110,115
29-05-2024 ,115,111,85,86,110,115
30-05-2024 ,115,111,85,85,110,115
31-05-2024 ,115,111,85,85,110,115
01-06-2024 ,115,111,85,85,111,116
02-06-2024 ,116,111,85,85,111,116
03-06-2024 ,116,112,85,85,111,116
04-06-2024 ,116,112,85,84,111,116
05-06-2024 ,116,112,85,84,111,116
06-06-2024 ,116,112,85,84,112,117
07-06-2024 ,116,112,85,84,112,117
08-06-2024 ,117,112,85,84,112,117
09-06-2024 ,117,112,85,84,112,117
10-06-2024 ,117,113,85,84,112,117
11-06-2024 ,117,113,85,84,112,117
12-06-2024 ,117,113,85,84,112,118
13-06-2024 ,117,113,85,84,112,118
14-06-2024 ,117,113,85,84,112,118
15-06-2024 ,117,113,85,84,113,118
16-06-2024 ,117,113,85,84,113,118
17-06-2024 ,117,113,85,84,113,118
18-06-2024 ,117,113,85,84,113,118
19-06-2024 ,117,113,85,83,113,118
20-06-2024 ,117,113,85,83,113,118
21-06-2024 ,117,113,85,83,113,118
22-06-2024 ,117,113,85,83,113,118
23-06-2024 ,117,113,85,84,113,118
24-06-2024 ,117,113,85,84,113,118
25-06-2024 ,117,113,85,84,113,118
26-06-2024 ,117,113,85,84,112,118
27-06-2024 ,117,113,85,84,112,118
28-06-2024 ,117,113,85,84,112,118
29-06-2024 ,117,113,85,84,112,117
30-06-2024 ,117,113,85,84,112,117
01-07-2024 ,117,113,85,84,112,117
02-07-2024 ,117,113,85,84,112,117
03-07-2024 ,117,112,85,84,112,117
04-07-2024 ,117,112,85,84,112,117
05-07-2024 ,116,112,85,84,111,117
06-07-2024 ,116,112,85,84,111,116
07-07-2024 ,116,112,85,84,111,116
08-07-2024 ,116,112,85,85,111,116
09-07-2024 ,116,112,85,85,111,116
10-07-2024 ,116,111,85,85,111,115
11-07-2024 ,115,111,85,85,110,115
12-07-2024 ,115,111,85,85,110,115
13-07-2024 ,115,111,85,86,110,115
14-07-2024 ,115,111,85,86,110,114
15-07-2024 ,115,111,85,86,109,114
16-07-2024 ,114,110,85,86,109,114
17-07-2024 ,114,110,85,87,109,114
18-07-2024 ,114,110,85,87,108,113
19-07-2024 ,114,110,85,87,108,113
20-07-2024 ,113,109,85,87,108,113
21-07-2024 ,113,109,85,88,108,112
22-07-2024 ,113,109,85,88,107,112
23-07-2024 ,112,109,85,88,107,111
24-07-2024 ,112,108,85,89,107,111
25-07-2024 ,112,108,85,89,106,111
26-07-2024 ,111,108,85,89,106,110
27-07-2024 ,111,107,85,90,106,110
28-07-2024 ,111,107,85,90,105,110
29-07-2024 ,111,107,85,91,105,109
30-07-2024 ,110,107,85,91,104,109
31-07-2024 ,110,106,85,91,104,108
01-08-2024 ,109,106,85,92,104,108
02-08-2024 ,109,106,85,92,103,107
03-08-2024 ,109,105,85,93,103,107
04-08-2024 ,108,105,85,93,102,106
05-08-2024 ,108,105,85,93,102,106
06-08-2024 ,108,104,85,94,102,106
07-08-2024 ,107,104,85,94,101,105
08-08-2024 ,107,104,85,95,101,105
09-08-2024 ,107,103,85,95,100,104
10-08-2024 ,106,103,85,96,100,104
11-08-2024 ,106,103,85,96,99,103
12-08-2024 ,105,102,85,97,99,103
13-08-2024 ,105,102,85,97,98,102
14-08-2024 ,105,101,85,98,98,102
15-08-2024 ,104,101,85,98,98,101
16-08-2024 ,104,101,85,99,97,101
17-08-2024 ,103,100,85,100,97,100
18-08-2024 ,103,100,85,100,96,100
19-08-2024 ,102,100,85,101,96,99
20-08-2024 ,102,99,85,101,95,99
21-08-2024 ,102,99,85,102,95,98
22-08-2024 ,101,98,85,102,94,98
23-08-2024 ,101,98,85,103,94,97
24-08-2024 ,100,98,85,104,93,96
25-08-2024 ,100,97,85,104,93,96
26-08-2024 ,99,97,85,105,92,95
27-08-2024 ,99,96,85,106,92,95
28-08-2024 ,99,96,85,106,91,94
29-08-2024 ,98,96,85,107,91,94
30-08-2024 ,98,95,85,108,90,93
31-08-2024 ,97,95,85,108,90,93
01-09-2024 ,97,94,85,109,89,92
02-09-2024 ,96,94,85,110,89,92
03-09-2024 ,96,93,85,111,88,91
04-09-2024 ,95,93,85,111,88,90
05-09-2024 ,95,93,85,112,87,90
06-09-2024 ,95,92,85,113,87,89
07-09-2024 ,94,92,85,114,86,89
08-09-2024 ,94,91,85,102,85,88
09-09-2024 ,93,91,85,120,85,88
10-09-2024 ,93,90,85,119,84,87
11-09-2024 ,92,90,85,118,84,86
12-09-2024 ,92,90,85,117,83,86
13-09-2024 ,91,89,85,116,83,85
14-09-2024 ,91,89,85,115,83,85
15-09-2024 ,90,88,85,114,83,84
16-09-2024 ,90,88,85,113,83,84
17-09-2024 ,89,87,85,112,83,83
18-09-2024 ,89,87,85,112,83,83
19-09-2024 ,89,87,85,111,84,83
20-09-2024 ,88,86,85,110,84,83
21-09-2024 ,88,86,85,109,84,83
22-09-2024 ,87,85,85,108,85,83
23-09-2024 ,87,85,85,107,85,84
24-09-2024 ,86,84,85,106,86,84
25-09-2024 ,86,84,85,105,86,84
26-09-2024 ,85,84,85,104,86,85
27-09-2024 ,85,83,85,104,87,85
28-09-2024 ,84,83,85,103,87,86
29-09-2024 ,84,83,85,102,88,86
30-09-2024 ,84,83,85,101,88,87
01-10-2024 ,83,83,85,100,89,87
02-10-2024 ,83,83,85,100,89,87
03-10-2024 ,83,83,85,99,90,88
04-10-2024 ,83,84,85,98,90,88
05-10-2024 ,83,84,85,97,90,89
06-10-2024 ,83,85,85,96,91,89
07-10-2024 ,84,85,85,96,91,90
08-10-2024 ,84,86,85,95,92,90
09-10-2024 ,85,87,85,94,92,91
10-10-2024 ,85,87,85,93,93,91
11-10-2024 ,86,88,85,93,93,92
12-10-2024 ,86,88,85,92,93,92
13-10-2024 ,87,89,85,91,94,92
14-10-2024 ,87,89,85,90,94,93
15-10-2024 ,88,90,85,90,95,93
16-10-2024 ,89,90,85,89,95,94
17-10-2024 ,89,91,85,88,96,94
18-10-2024 ,90,91,85,88,96,95
19-10-2024 ,90,92,85,87,96,95
20-10-2024 ,91,92,85,86,97,96
21-10-2024 ,91,93,85,86,97,96
22-10-2024 ,92,93,85,85,98,96
23-10-2024 ,92,94,85,84,98,97
24-10-2024 ,93,94,85,84,99,97
25-10-2024 ,93,95,85,83,99,98
26-10-2024 ,94,95,85,83,99,98
27-10-2024 ,94,96,85,83,100,99
28-10-2024 ,95,96,85,83,100,99
29-10-2024 ,95,97,85,83,101,99
30-10-2024 ,96,97,85,84,101,100
31-10-2024 ,96,98,85,84,101,100
01-11-2024 ,97,98,85,84,102,101
02-11-2024 ,97,99,85,85,102,101
03-11-2024 ,98,99,85,85,102,101
04-11-2024 ,98,100,85,85,103,102
05-11-2024 ,99,100,85,86,103,102
06-11-2024 ,99,101,85,86,104,103
07-11-2024 ,100,101,85,87,104,103
08-11-2024 ,100,102,85,87,104,103
09-11-2024 ,101,102,85,88,105,104
10-11-2024 ,101,102,85,88,105,104
11-11-2024 ,102,103,85,88,105,104
12-11-2024 ,102,103,85,89,106,105
13-11-2024 ,103,104,85,89,106,105
14-11-2024 ,103,104,85,89,106,105
15-11-2024 ,103,104,85,90,107,106
16-11-2024 ,104,105,85,90,107,106
17-11-2024 ,104,105,85,91,107,106
18-11-2024 ,105,106,85,91,108,107
19-11-2024 ,105,106,85,91,108,107
20-11-2024 ,105,106,85,91,108,107
21-11-2024 ,106,107,85,92,108,108
22-11-2024 ,106,107,85,92,109,108
23-11-2024 ,106,107,85,92,109,108
24-11-2024 ,107,108,85,93,109,108
25-11-2024 ,107,108,85,93,109,109
26-11-2024 ,107,108,85,93,110,109
27-11-2024 ,108,109,85,93,110,109
28-11-2024 ,108,109,85,94,110,109
29-11-2024 ,108,109,85,94,110,110
30-11-2024 ,109,109,85,94,111,110
01-12-2024 ,109,110,85,94,111,110
02-12-2024 ,109,110,85,95,111,110
03-12-2024 ,109,110,85,95,111,110
04-12-2024 ,110,110,85,95,111,111
05-12-2024 ,110,111,85,95,112,111
06-12-2024 ,110,111,85,95,112,111
07-12-2024 ,110,111,85,96,112,111
08-12-2024 ,110,111,85,96,112,111
09-12-2024 ,110,111,85,96,112,111
10-12-2024 ,111,112,85,96,112,112
11-12-2024 ,111,112,85,96,112,112
12-12-2024 ,111,112,85,96,112,112
13-12-2024 ,111,112,85,96,113,112
14-12-2024 ,111,112,85,96,113,112
15-12-2024 ,111,112,85,96,113,112
16-12-2024 ,111,112,85,96,113,112
17-12-2024 ,111,112,85,97,113,112
18-12-2024 ,111,112,85,97,113,112
19-12-2024 ,111,112,85,97,113,112
20-12-2024 ,112,112,85,97,113,112
21-12-2024 ,112,112,85,97,113,112
22-12-2024 ,112,112,85,97,113,112
23-12-2024 ,112,112,85,97,113,112
24-12-2024 ,111,112,85,97,113,112
25-12-2024 ,111,112,85,97,113,112
26-12-2024 ,111,112,85,96,113,112
27-12-2024 ,111,112,85,96,113,112
28-12-2024 ,111,112,85,96,113,112
29-12-2024 ,111,112,85,96,113,112
30-12-2024 ,111,112,85,96,112,112
31-12-2024 ,111,112,85,96,112,112
